Aircraft,Traveller_type,Seat_type,Date_flown,Recommended
,Couple Leisure,Business Class,September 2021,no
,,Business Class,September 2021,no
A320,Couple Leisure,Business Class,September 2021,yes
A320,Family Leisure,Business Class,September 2021,yes
,Solo Leisure,Economy Class,September 2021,no
,,Economy Class,October 2020,no
,Family Leisure,Economy Class,September 2021,no
,,Business Class,August 2021,no
,Solo Leisure,Economy Class,September 2021,no
,Couple Leisure,Economy Class,August 2021,no
,,Economy Class,August 2021,no
,Solo Leisure,Economy Class,August 2021,yes
,Solo Leisure,Economy Class,August 2021,yes
A320,Family Leisure,Economy Class,August 2021,yes
,Family Leisure,Business Class,August 2021,no
,,Business Class,August 2021,no
A330,Couple Leisure,Business Class,July 2021,no
,Family Leisure,Economy Class,April 2021,no
A230,Solo Leisure,,July 2021,no
,Family Leisure,Business Class,July 2021,yes
,Family Leisure,Business Class,July 2021,yes
,Family Leisure,Economy Class,July 2021,no
,Family Leisure,Economy Class,July 2021,no
,,Business Class,June 2021,yes
,Solo Leisure,Business Class,June 2021,no
A320,Couple Leisure,Business Class,June 2021,yes
,Solo Leisure,Economy Class,June 2021,yes
A320,Couple Leisure,Business Class,May 2021,yes
,Family Leisure,Economy Class,January 2021,no
A321NEO,Solo Leisure,Economy Class,May 2021,yes
,,Business Class,April 2021,yes
,Solo Leisure,Economy Class,April 2021,yes
,Solo Leisure,Economy Class,December 2020,no
,Couple Leisure,Economy Class,February 2021,no
,Family Leisure,Economy Class,November 2020,no
,Solo Leisure,Economy Class,January 2021,no
,Solo Leisure,Economy Class,December 2020,no
,Solo Leisure,Economy Class,February 2021,yes
,,First Class,January 2021,no
,Family Leisure,Economy Class,December 2020,no
,Solo Leisure,Economy Class,December 2020,yes
,Solo Leisure,Economy Class,September 2020,yes
,Solo Leisure,Economy Class,December 2020,yes
A350,Solo Leisure,,July 2020,no
A321,Solo Leisure,Business Class,December 2020,yes
,Family Leisure,Economy Class,December 2020,no
,Solo Leisure,Economy Class,October 2020,yes
,Couple Leisure,Economy Class,November 2019,yes
,Family Leisure,Economy Class,October 2020,no
A320neo,Solo Leisure,Business Class,September 2020,yes
A321,Couple Leisure,Economy Class,August 2020,no
A321,Couple Leisure,Economy Class,February 2020,no
A319,,Economy Class,August 2020,no
A320,Solo Leisure,Economy Class,July 2020,yes
,Solo Leisure,,March 2020,no
,Family Leisure,Economy Class,July 2020,no
,Solo Leisure,Economy Class,April 2020,no
,,Economy Class,February 2020,no
,,Economy Class,November 2019,yes
,,First Class,May 2020,no
,,Business Class,June 2020,no
,Couple Leisure,Economy Class,March 2020,no
A350,Solo Leisure,,April 2020,no
,Couple Leisure,Business Class,December 2019,no
,Solo Leisure,Economy Class,May 2020,no
,Family Leisure,,March 2020,no
,Couple Leisure,Economy Class,March 2020,no
A350,Couple Leisure,Business Class,February 2020,yes
,Couple Leisure,Business Class,February 2020,yes
,Solo Leisure,Economy Class,March 2020,no
,,Economy Class,April 2020,no
,Couple Leisure,Business Class,February 2020,no
A321neo,Solo Leisure,Economy Class,March 2020,yes
,,Economy Class,March 2020,no
,,Economy Class,April 2020,no
,Solo Leisure,Economy Class,March 2020,no
,Solo Leisure,Business Class,March 2020,no
,Solo Leisure,Economy Class,March 2020,no
,Family Leisure,Economy Class,August 2019,no
,Couple Leisure,Economy Class,March 2020,no
,Couple Leisure,,March 2020,yes
,,Economy Class,March 2020,no
,Couple Leisure,Economy Class,March 2020,no
,,Business Class,March 2020,no
,,Business Class,February 2020,no
,Solo Leisure,Economy Class,March 2020,no
,,Economy Class,October 2019,no
,,Business Class,March 2020,no
,Couple Leisure,Economy Class,March 2020,no
,Solo Leisure,Economy Class,January 2020,yes
A380,Family Leisure,Economy Class,January 2020,yes
,Couple Leisure,Economy Class,March 2020,yes
,Couple Leisure,Economy Class,February 2020,yes
A319,,Business Class,February 2020,no
,Solo Leisure,Economy Class,February 2020,no
,Solo Leisure,Economy Class,February 2020,no
,Solo Leisure,,February 2020,yes
,,Business Class,February 2020,no
,Solo Leisure,First Class,February 2020,no
,Couple Leisure,,February 2020,no
,Couple Leisure,Business Class,February 2020,no
,Solo Leisure,Economy Class,February 2020,no
,Solo Leisure,Economy Class,February 2020,no
,Couple Leisure,Business Class,February 2020,no
A320,Couple Leisure,Economy Class,January 2020,no
,Solo Leisure,Economy Class,January 2020,yes
A321,Solo Leisure,Business Class,October 2019,yes
,Solo Leisure,Economy Class,July 2019,no
A321neo,,Business Class,January 2020,no
A320,Family Leisure,Economy Class,January 2020,yes
A380-800,Couple Leisure,Business Class,January 2020,yes
,,Business Class,January 2020,no
,,Business Class,January 2020,no
A320,Couple Leisure,Business Class,January 2020,yes
,Solo Leisure,Economy Class,December 2019,yes
,,Business Class,January 2020,yes
,Solo Leisure,Economy Class,January 2020,no
,Solo Leisure,Economy Class,January 2020,yes
,Family Leisure,Economy Class,December 2019,no
,Solo Leisure,Economy Class,January 2020,yes
,Solo Leisure,First Class,January 2020,yes
,,Economy Class,January 2020,no
,Couple Leisure,Business Class,January 2020,no
A321neo,Solo Leisure,Economy Class,January 2020,yes
,Family Leisure,Economy Class,January 2020,yes
,Family Leisure,Economy Class,December 2019,no
,Couple Leisure,Business Class,January 2020,yes
,,Business Class,January 2020,no
A380,Couple Leisure,Business Class,January 2020,yes
,Solo Leisure,Economy Class,December 2019,yes
,Couple Leisure,Business Class,January 2020,no
,Solo Leisure,,January 2020,no
A320,Solo Leisure,Business Class,January 2020,yes
,Solo Leisure,Business Class,December 2019,yes
A320,,Business Class,January 2020,yes
A320,Couple Leisure,Business Class,January 2020,yes
,Couple Leisure,Economy Class,January 2020,no
,Couple Leisure,Economy Class,January 2020,no
A380,Couple Leisure,Business Class,December 2019,no
,Family Leisure,Business Class,January 2020,no
A320,Solo Leisure,Economy Class,January 2020,no
,Solo Leisure,Economy Class,December 2019,no
,Solo Leisure,Business Class,December 2019,yes
A321neo,Family Leisure,Economy Class,December 2019,no
,Solo Leisure,Economy Class,December 2019,no
A320,Solo Leisure,Economy Class,December 2019,yes
,Solo Leisure,Economy Class,December 2019,yes
,Solo Leisure,Economy Class,December 2019,yes
A321neo,Solo Leisure,Business Class,October 2019,yes
,Couple Leisure,Business Class,December 2019,yes
A320,Solo Leisure,Economy Class,December 2019,no
,Family Leisure,Economy Class,December 2019,no
,Couple Leisure,Economy Class,August 2019,no
,,Economy Class,December 2019,no
,Family Leisure,,October 2019,no
,Couple Leisure,Economy Class,December 2019,no
,Solo Leisure,Economy Class,December 2019,no
,,Business Class,December 2019,yes
A319,Couple Leisure,Economy Class,December 2019,no
A380,Solo Leisure,Business Class,October 2019,yes
,,Economy Class,November 2019,no
A319,Solo Leisure,Business Class,November 2019,yes
A380,Family Leisure,Economy Class,November 2019,no
A380,Couple Leisure,Business Class,December 2019,yes
,Solo Leisure,First Class,November 2019,yes
A319,Solo Leisure,Business Class,November 2019,yes
,Couple Leisure,Economy Class,November 2019,yes
,Couple Leisure,Business Class,November 2019,no
,Solo Leisure,Business Class,December 2019,no
,,Business Class,November 2019,no
,,Economy Class,November 2019,no
,Couple Leisure,Economy Class,November 2019,no
A380,Couple Leisure,Business Class,November 2019,yes
,,,November 2019,no
,Solo Leisure,Economy Class,November 2019,yes
,Solo Leisure,Economy Class,November 2019,no
,Solo Leisure,Economy Class,November 2019,no
,Family Leisure,Economy Class,November 2019,yes
,Family Leisure,Economy Class,November 2019,no
A380,Couple Leisure,Economy Class,November 2019,no
,,Business Class,November 2019,no
,Family Leisure,Economy Class,November 2019,no
,,Business Class,November 2019,yes
,Solo Leisure,Economy Class,November 2019,no
,Couple Leisure,Economy Class,November 2019,no
A320,Couple Leisure,Business Class,November 2019,no
,Solo Leisure,Economy Class,November 2019,yes
A320,,Economy Class,November 2019,yes
,Solo Leisure,Economy Class,November 2019,yes
,Family Leisure,Economy Class,November 2019,yes
,Solo Leisure,Economy Class,November 2019,no
A320,Couple Leisure,Business Class,September 2019,yes
,Couple Leisure,Economy Class,September 2019,no
,Couple Leisure,Business Class,October 2019,yes
A320,Couple Leisure,Economy Class,October 2019,no
,,,October 2019,no
,Couple Leisure,Business Class,October 2019,no
A321neo,Solo Leisure,Economy Class,October 2019,yes
,Family Leisure,Economy Class,October 2019,yes
,Couple Leisure,Economy Class,October 2019,yes
,Solo Leisure,Economy Class,October 2019,no
,,Economy Class,October 2019,no
A380,Couple Leisure,Business Class,October 2019,yes
A319,Solo Leisure,Business Class,October 2019,yes
,Couple Leisure,Economy Class,April 2019,no
,,Economy Class,October 2019,no
,,Economy Class,October 2019,no
,,Business Class,October 2019,no
A320,Solo Leisure,Economy Class,October 2019,no
A320,,Economy Class,October 2019,no
,Couple Leisure,,October 2019,no
,Solo Leisure,,October 2019,no
,Couple Leisure,Business Class,October 2019,yes
,Couple Leisure,Economy Class,October 2019,no
A321,Couple Leisure,Economy Class,September 2019,yes
A320,,Economy Class,October 2019,no
,Couple Leisure,Economy Class,October 2019,no
,Couple Leisure,,September 2019,no
,Solo Leisure,Economy Class,September 2019,yes
A319,Couple Leisure,Economy Class,September 2019,yes
,Couple Leisure,,September 2019,no
,Couple Leisure,Economy Class,October 2019,yes
,Couple Leisure,Economy Class,September 2019,no
A350,,Business Class,September 2019,yes
,Solo Leisure,Economy Class,October 2019,no
,Couple Leisure,Economy Class,October 2019,yes
A320,,Economy Class,October 2019,no
A320,Solo Leisure,Economy Class,October 2019,yes
,Solo Leisure,Economy Class,September 2019,yes
,Family Leisure,Economy Class,October 2019,yes
,Couple Leisure,Business Class,October 2019,yes
,Couple Leisure,,August 2019,yes
,Couple Leisure,,October 2019,no
,Couple Leisure,Business Class,October 2019,no
A320,,Business Class,September 2019,yes
A380,Solo Leisure,,September 2019,yes
,Couple Leisure,Economy Class,September 2019,no
,Couple Leisure,Business Class,September 2019,yes
,Couple Leisure,Business Class,September 2019,yes
,Couple Leisure,Economy Class,September 2019,no
A320,Couple Leisure,Business Class,September 2019,yes
A380,Family Leisure,Economy Class,August 2019,no
,Solo Leisure,Business Class,September 2019,yes
A321,Solo Leisure,Economy Class,September 2019,yes
,Couple Leisure,Business Class,September 2019,no
,,Economy Class,September 2019,no
,Couple Leisure,Business Class,September 2019,no
,Family Leisure,,August 2019,no
A320,Couple Leisure,Business Class,September 2019,no
,Solo Leisure,Economy Class,September 2019,no
,Couple Leisure,Business Class,September 2019,no
,Couple Leisure,Economy Class,September 2019,no
,,Economy Class,September 2019,no
,Solo Leisure,Economy Class,September 2019,no
,Couple Leisure,Business Class,August 2019,yes
A319,Couple Leisure,Economy Class,September 2019,yes
,Family Leisure,Business Class,July 2019,no
,Solo Leisure,Business Class,September 2019,no
A319 / Boeing777,Couple Leisure,Business Class,September 2019,yes
,Family Leisure,Economy Class,September 2019,no
,Family Leisure,Economy Class,August 2019,yes
A320,Couple Leisure,Business Class,August 2019,no
,,,May 2019,no
A380,Couple Leisure,Business Class,September 2019,no
,Family Leisure,Business Class,August 2019,no
,Family Leisure,Economy Class,August 2019,yes
,Solo Leisure,Economy Class,July 2019,yes
,,Business Class,July 2019,no
,Solo Leisure,Economy Class,February 2019,no
,Family Leisure,First Class,August 2019,yes
,,Business Class,August 2019,no
,Family Leisure,Economy Class,November 2018,yes
,Family Leisure,,June 2019,no
,Couple Leisure,Economy Class,August 2019,no
,,Business Class,July 2019,no
,Solo Leisure,Economy Class,August 2019,no
"A340-300, A320",Family Leisure,Business Class,August 2019,yes
A320,Family Leisure,Economy Class,August 2019,yes
,Couple Leisure,,August 2019,no
A321neo,Family Leisure,Economy Class,August 2019,no
,Family Leisure,Economy Class,July 2019,yes
A320,Family Leisure,Economy Class,August 2019,yes
,,Economy Class,June 2019,no
,,Business Class,August 2019,no
A320,Solo Leisure,Economy Class,July 2019,yes
A321,Couple Leisure,Business Class,August 2019,no
,Couple Leisure,Business Class,August 2019,no
,Solo Leisure,Economy Class,August 2019,no
,Solo Leisure,Economy Class,August 2019,no
,Solo Leisure,Economy Class,August 2019,no
,Couple Leisure,Economy Class,August 2019,no
,Solo Leisure,Economy Class,August 2019,no
A320,Couple Leisure,Business Class,August 2019,no
,Couple Leisure,Economy Class,August 2019,no
,Family Leisure,Economy Class,August 2019,no
,Couple Leisure,Economy Class,July 2019,no
A321-200,Family Leisure,Economy Class,July 2019,yes
,Solo Leisure,Business Class,July 2019,no
,Couple Leisure,Economy Class,July 2019,yes
,Family Leisure,Economy Class,July 2019,yes
,,,July 2019,no
A320,Solo Leisure,Business Class,July 2019,no
,,Economy Class,June 2019,no
,Solo Leisure,Economy Class,July 2019,yes
,Family Leisure,Economy Class,July 2019,no
A320,,Business Class,July 2019,no
,Family Leisure,Economy Class,July 2019,yes
,Family Leisure,Economy Class,July 2019,yes
,Family Leisure,Economy Class,July 2019,no
,Solo Leisure,,July 2019,yes
,Family Leisure,Economy Class,July 2019,yes
A321,Solo Leisure,Business Class,July 2019,no
A320,Solo Leisure,Business Class,June 2019,yes
A320,Couple Leisure,Business Class,July 2019,no
,,Business Class,July 2019,no
,Family Leisure,,July 2019,yes
A320,Couple Leisure,Business Class,July 2019,no
A320,Solo Leisure,Economy Class,September 2018,no
A320,,Business Class,July 2019,no
,Family Leisure,Economy Class,July 2019,no
,Couple Leisure,Economy Class,July 2019,no
,Couple Leisure,Economy Class,July 2019,no
,Solo Leisure,Economy Class,July 2019,no
A320 neo,,Economy Class,July 2019,yes
,Couple Leisure,Economy Class,July 2019,no
A380,Solo Leisure,Economy Class,June 2019,yes
A321,,Economy Class,June 2019,no
,Solo Leisure,Economy Class,June 2019,yes
A319 / Boeing 789,,Economy Class,June 2019,no
,Solo Leisure,Economy Class,June 2019,yes
,Family Leisure,Economy Class,June 2019,yes
,Family Leisure,Business Class,June 2019,yes
A320,Couple Leisure,Business Class,June 2019,yes
A320-200,Couple Leisure,Economy Class,June 2019,yes
A320,Couple Leisure,Economy Class,June 2019,yes
,,Economy Class,June 2019,no
A320,Solo Leisure,Economy Class,February 2019,no
A321 Neo,,Economy Class,June 2019,yes
A321 / Boeing 787-9,Family Leisure,Economy Class,October 2018,no
,Solo Leisure,Economy Class,January 2019,no
,Solo Leisure,Business Class,June 2019,no
A380,Solo Leisure,Economy Class,June 2019,no
,Solo Leisure,Economy Class,June 2019,no
,,Business Class,June 2019,no
,Solo Leisure,Economy Class,June 2019,no
,Couple Leisure,Economy Class,May 2019,no
,Solo Leisure,Economy Class,June 2019,no
A319 / Boeing 777,Solo Leisure,Economy Class,April 2019,no
,Family Leisure,Economy Class,June 2019,yes
,,Business Class,May 2019,no
,Solo Leisure,First Class,June 2019,yes
,Couple Leisure,Economy Class,June 2019,no
,Family Leisure,Economy Class,May 2019,no
,Couple Leisure,Economy Class,May 2019,no
,,Economy Class,June 2019,yes
,Couple Leisure,First Class,May 2019,yes
,Couple Leisure,Economy Class,May 2019,no
,Couple Leisure,Economy Class,May 2019,yes
,Couple Leisure,Economy Class,May 2019,no
A319/A320,,Economy Class,May 2019,yes
,Couple Leisure,Business Class,May 2019,yes
,Couple Leisure,Business Class,May 2019,yes
,Couple Leisure,Business Class,May 2019,yes
A321,,Economy Class,May 2019,no
,Couple Leisure,Economy Class,May 2019,no
,Solo Leisure,Economy Class,May 2019,no
,Solo Leisure,Business Class,May 2019,no
,,Economy Class,May 2019,no
,Couple Leisure,Economy Class,May 2019,no
,Couple Leisure,Economy Class,May 2019,no
,Family Leisure,Business Class,May 2019,yes
A320,Solo Leisure,Economy Class,May 2019,yes
A380 / Boeing 777,Solo Leisure,Economy Class,May 2019,yes
,Couple Leisure,First Class,May 2019,yes
,Couple Leisure,Economy Class,May 2019,yes
A321,,Economy Class,May 2019,no
A319,,Business Class,May 2019,no
,Couple Leisure,,March 2019,no
A320,,Business Class,May 2019,no
A380,Couple Leisure,Economy Class,May 2019,yes
,Couple Leisure,Business Class,May 2019,no
,,First Class,May 2019,yes
,Solo Leisure,Economy Class,May 2019,yes
,,Business Class,April 2019,no
,Couple Leisure,Economy Class,May 2019,no
,,Economy Class,April 2019,yes
,Couple Leisure,Economy Class,April 2019,no
,Solo Leisure,Business Class,December 2018,yes
,Couple Leisure,Business Class,April 2019,yes
,Couple Leisure,Business Class,April 2019,yes
,Solo Leisure,Economy Class,April 2019,no
,,Business Class,April 2019,no
,,Economy Class,April 2019,no
,Couple Leisure,Economy Class,April 2019,yes
,,Business Class,April 2019,no
A319,Solo Leisure,Economy Class,April 2019,yes
,,Business Class,April 2019,no
A320,Family Leisure,Business Class,April 2019,yes
,,Business Class,March 2019,no
,Family Leisure,Business Class,April 2019,yes
,Couple Leisure,Economy Class,April 2019,yes
A320,,Business Class,March 2019,no
,Solo Leisure,Economy Class,April 2019,no
,Solo Leisure,Economy Class,April 2019,yes
,Couple Leisure,First Class,November 2018,yes
,Couple Leisure,Business Class,March 2019,no
,Couple Leisure,Economy Class,April 2019,no
A380,Solo Leisure,Economy Class,April 2019,no
,Family Leisure,Economy Class,September 2018,no
A320/B788,Solo Leisure,Economy Class,April 2019,no
,Couple Leisure,Economy Class,March 2019,yes
,Family Leisure,Business Class,March 2019,yes
A320 Neo,Couple Leisure,Business Class,March 2019,yes
,Couple Leisure,Economy Class,March 2019,no
,Solo Leisure,Economy Class,March 2019,yes
,Solo Leisure,First Class,March 2019,yes
,,First Class,March 2019,no
,Solo Leisure,Economy Class,September 2018,yes
,Solo Leisure,First Class,March 2019,no
,Couple Leisure,Economy Class,March 2019,no
A320,,Economy Class,March 2019,no
,Couple Leisure,Business Class,March 2019,yes
,Solo Leisure,Economy Class,March 2019,no
,,Business Class,April 2018,no
A321,Solo Leisure,Economy Class,March 2019,yes
A319,,Economy Class,March 2019,no
,Couple Leisure,Economy Class,March 2019,no
A320,,Economy Class,March 2019,yes
,Couple Leisure,Business Class,February 2019,no
,,Economy Class,February 2019,yes
A320,Family Leisure,Business Class,March 2019,no
,Couple Leisure,Economy Class,March 2019,no
,Couple Leisure,Economy Class,February 2019,no
,Family Leisure,Economy Class,February 2019,yes
,Solo Leisure,Economy Class,February 2019,no
,,Business Class,February 2019,no
,,Business Class,February 2019,no
,,First Class,February 2019,no
,Family Leisure,Economy Class,February 2019,no
,Solo Leisure,Economy Class,February 2019,no
A380,,Business Class,December 2018,no
,,Economy Class,February 2019,yes
,Solo Leisure,,October 2018,yes
,,,February 2019,yes
,Family Leisure,,February 2019,yes
,Couple Leisure,Business Class,February 2019,no
,,Business Class,February 2019,yes
,Solo Leisure,Economy Class,March 2018,yes
,,Economy Class,January 2019,no
,Couple Leisure,Economy Class,February 2019,no
,Solo Leisure,First Class,November 2018,no
A320,Couple Leisure,Economy Class,December 2018,no
,Solo Leisure,Economy Class,February 2019,no
,Couple Leisure,,September 2018,yes
,Couple Leisure,Business Class,January 2019,yes
,Couple Leisure,First Class,January 2019,yes
,Solo Leisure,Economy Class,February 2019,yes
,,,February 2019,no
A320,Couple Leisure,Economy Class,January 2019,yes
,,Business Class,February 2019,no
A320,Family Leisure,Economy Class,November 2018,yes
A380,Family Leisure,Business Class,February 2019,yes
,Solo Leisure,Economy Class,February 2019,no
A380 / A319,Solo Leisure,Economy Class,March 2018,yes
,Family Leisure,Economy Class,August 2018,yes
,,Economy Class,November 2018,no
,Couple Leisure,Economy Class,January 2019,no
A380,Couple Leisure,First Class,January 2019,yes
A380,Couple Leisure,Business Class,January 2019,yes
A380,Family Leisure,Business Class,January 2019,yes
A320,,Business Class,January 2019,yes
,Couple Leisure,,January 2019,no
,,Business Class,January 2019,no
A321-200,Solo Leisure,Economy Class,January 2019,no
A380,Solo Leisure,,January 2019,no
A321,Solo Leisure,Economy Class,February 2018,yes
,Couple Leisure,,January 2019,no
,Solo Leisure,Economy Class,January 2019,no
,,Business Class,January 2019,no
,,,June 2018,yes
,,,June 2018,no
,,,January 2019,no
,Solo Leisure,Economy Class,November 2018,no
,Solo Leisure,Economy Class,December 2018,no
,Couple Leisure,Economy Class,December 2018,no
,Couple Leisure,Economy Class,October 2018,yes
,Couple Leisure,Economy Class,January 2019,no
,Solo Leisure,Economy Class,October 2018,no
A320,Solo Leisure,Economy Class,January 2019,no
A319,,Economy Class,October 2018,no
,Couple Leisure,Economy Class,December 2018,yes
,Couple Leisure,Economy Class,December 2018,yes
,Couple Leisure,Economy Class,December 2018,no
A380,Couple Leisure,Economy Class,January 2019,yes
,Solo Leisure,,December 2018,yes
,Solo Leisure,Economy Class,December 2018,no
,Solo Leisure,Economy Class,December 2018,yes
,Solo Leisure,,December 2018,no
,Family Leisure,Economy Class,December 2018,no
A319,Solo Leisure,Economy Class,December 2018,yes
A320,Solo Leisure,Economy Class,December 2018,no
,Couple Leisure,,December 2018,no
A380,Couple Leisure,Business Class,November 2018,no
,Solo Leisure,Economy Class,December 2018,no
,Solo Leisure,Economy Class,December 2018,no
,,Economy Class,November 2018,no
,Couple Leisure,First Class,December 2018,no
,Solo Leisure,First Class,December 2018,yes
,Solo Leisure,Economy Class,December 2018,no
,Couple Leisure,Business Class,December 2018,no
A319 / Boeing 777,Couple Leisure,Economy Class,December 2018,yes
,,Business Class,December 2018,no
A380,Couple Leisure,First Class,December 2018,no
,,Business Class,December 2018,no
,Couple Leisure,First Class,December 2018,no
,Couple Leisure,Business Class,November 2018,no
A320,Couple Leisure,Economy Class,December 2018,no
,,Economy Class,December 2018,yes
,Family Leisure,Economy Class,December 2018,no
,Solo Leisure,,November 2018,yes
,Couple Leisure,Economy Class,July 2018,no
,Family Leisure,Economy Class,October 2018,no
,Family Leisure,Economy Class,December 2018,yes
,Couple Leisure,,November 2018,no
,,Business Class,November 2018,yes
,Solo Leisure,Economy Class,November 2018,no
,Solo Leisure,Economy Class,November 2018,no
,,Economy Class,November 2018,no
A380,Couple Leisure,First Class,November 2018,yes
,,Business Class,November 2018,no
,Family Leisure,Economy Class,November 2018,yes
,Solo Leisure,Economy Class,October 2018,no
,Solo Leisure,,November 2018,no
,Solo Leisure,Economy Class,November 2018,no
,,Economy Class,November 2018,yes
A320,Solo Leisure,Business Class,November 2018,yes
,,Economy Class,November 2018,no
,Couple Leisure,Economy Class,November 2018,no
,,Business Class,November 2018,no
A319,Solo Leisure,Economy Class,November 2018,no
,Family Leisure,Economy Class,November 2018,no
A320,Family Leisure,Economy Class,November 2018,no
A321,Solo Leisure,Economy Class,October 2018,yes
,Solo Leisure,Business Class,October 2018,no
A340-300,Solo Leisure,Economy Class,October 2018,no
,,Business Class,October 2018,no
A319 / Boeing 747,Solo Leisure,Business Class,October 2018,yes
A320,Solo Leisure,Economy Class,October 2018,yes
,,Business Class,October 2018,no
,,Business Class,October 2018,yes
A321,Family Leisure,Economy Class,October 2018,yes
,Couple Leisure,Economy Class,October 2018,no
A321,Family Leisure,Economy Class,October 2018,yes
A319 / Boeing 747-400,Solo Leisure,First Class,October 2018,yes
,,Economy Class,October 2018,no
,Solo Leisure,Economy Class,October 2018,no
A320,,Economy Class,October 2018,no
A380,,Business Class,October 2018,no
,Solo Leisure,Business Class,September 2018,yes
,Couple Leisure,Business Class,August 2018,no
,Solo Leisure,,September 2018,no
,Couple Leisure,Business Class,October 2018,no
,Couple Leisure,First Class,September 2018,no
,Solo Leisure,Economy Class,March 2018,no
,Family Leisure,Economy Class,August 2018,yes
A380,Solo Leisure,Economy Class,September 2018,yes
,Solo Leisure,Economy Class,September 2018,no
A321,Family Leisure,Business Class,September 2018,no
,Family Leisure,Economy Class,August 2018,no
,,,September 2018,yes
A319,Couple Leisure,Business Class,June 2018,no
A320,Couple Leisure,Business Class,September 2018,no
A380,Couple Leisure,,September 2018,no
,Family Leisure,Economy Class,September 2018,no
,Solo Leisure,,August 2018,yes
A320 / Boeing 787-9,Couple Leisure,Economy Class,September 2018,yes
,,Business Class,September 2018,no
,Couple Leisure,First Class,September 2018,yes
A320,Couple Leisure,Economy Class,September 2018,no
,Solo Leisure,Business Class,September 2018,yes
A321,Couple Leisure,Business Class,September 2018,no
A320,,Economy Class,July 2018,no
,Couple Leisure,Economy Class,September 2018,no
,Solo Leisure,,August 2018,yes
,Solo Leisure,Economy Class,August 2018,yes
A320,Solo Leisure,Economy Class,September 2018,yes
A319 / Boeing 787-9,Family Leisure,Business Class,September 2018,yes
,,Business Class,August 2018,no
,Solo Leisure,Economy Class,August 2018,no
,Solo Leisure,Economy Class,August 2018,no
,Family Leisure,Economy Class,August 2018,no
A380,Solo Leisure,Economy Class,August 2018,yes
A318,Solo Leisure,Economy Class,August 2018,yes
A320,Couple Leisure,Business Class,August 2018,no
A380,Family Leisure,First Class,July 2018,yes
,Couple Leisure,,August 2018,no
,Family Leisure,Economy Class,July 2018,no
,,Business Class,August 2018,no
A380,Family Leisure,Business Class,August 2018,no
,Solo Leisure,,August 2018,yes
A380,Couple Leisure,Business Class,July 2018,no
,Solo Leisure,Economy Class,August 2018,yes
A321,Couple Leisure,Economy Class,January 2018,yes
A320,Couple Leisure,Economy Class,June 2018,yes
,Solo Leisure,First Class,August 2018,no
,Couple Leisure,Economy Class,April 2018,no
A320,Couple Leisure,Business Class,July 2018,no
A320,Couple Leisure,Business Class,July 2018,yes
,Family Leisure,Business Class,July 2018,no
,,Economy Class,July 2018,no
,Family Leisure,Economy Class,July 2018,no
,,,July 2018,yes
,Couple Leisure,Business Class,July 2018,no
A320-200,Family Leisure,Economy Class,July 2018,yes
A320,Couple Leisure,Economy Class,July 2018,yes
A321,Solo Leisure,Business Class,July 2018,no
,Family Leisure,Economy Class,July 2018,no
A320 / Boeing 747-400,Solo Leisure,Economy Class,June 2018,no
A319,Couple Leisure,Economy Class,July 2018,no
,Solo Leisure,Economy Class,July 2018,no
,Couple Leisure,Business Class,July 2018,no
,,,June 2018,yes
A320,Solo Leisure,Business Class,July 2018,yes
A320,Solo Leisure,Business Class,July 2018,yes
,Solo Leisure,First Class,May 2018,no
,,Business Class,July 2018,no
A321,Solo Leisure,Business Class,July 2018,yes
,Couple Leisure,Business Class,May 2018,yes
,,Economy Class,July 2018,yes
A319,Solo Leisure,Economy Class,June 2018,yes
,Family Leisure,,July 2018,no
,Couple Leisure,Economy Class,June 2018,no
A320,Solo Leisure,Economy Class,July 2018,yes
,Couple Leisure,Business Class,July 2018,yes
,Solo Leisure,Economy Class,July 2018,no
,Couple Leisure,Economy Class,July 2018,no
,,Business Class,June 2018,no
,Family Leisure,Economy Class,August 2017,no
A321,Couple Leisure,Economy Class,July 2018,no
,,First Class,June 2018,no
,Couple Leisure,Economy Class,June 2018,no
,Family Leisure,Economy Class,June 2018,no
,Couple Leisure,Economy Class,July 2018,no
,Couple Leisure,Business Class,August 2017,no
,Solo Leisure,,June 2018,yes
,Solo Leisure,Business Class,June 2018,no
,Solo Leisure,,June 2018,yes
,Couple Leisure,Business Class,June 2018,no
A320,Couple Leisure,Business Class,June 2018,yes
A380,,First Class,June 2018,no
,,Economy Class,June 2018,no
,Family Leisure,Economy Class,June 2018,no
,,Business Class,June 2018,no
,Couple Leisure,Business Class,June 2018,yes
,Solo Leisure,Economy Class,April 2018,no
,Couple Leisure,,June 2018,no
,,Economy Class,June 2018,no
,Couple Leisure,Economy Class,June 2018,no
,Solo Leisure,Economy Class,June 2018,yes
A380 and 747,Couple Leisure,Business Class,February 2018,no
,Couple Leisure,,May 2018,no
,Couple Leisure,Economy Class,May 2018,no
,Couple Leisure,Business Class,June 2018,no
,Solo Leisure,Economy Class,June 2018,no
,Solo Leisure,,June 2018,yes
,Couple Leisure,Economy Class,April 2018,yes
,,First Class,March 2018,no
A320,Couple Leisure,Business Class,May 2018,yes
A320,Couple Leisure,Economy Class,June 2018,no
,,Business Class,June 2018,no
,Solo Leisure,Business Class,May 2018,yes
A320,Solo Leisure,Economy Class,May 2018,no
A320,Solo Leisure,Economy Class,May 2018,no
,Couple Leisure,First Class,May 2018,yes
