Aircraft,Traveller_type,Seat_type,Date_flown,Recommended
A320,Solo Leisure,Economy Class,September 2023,no
,Couple Leisure,,November 2023,yes
A320,Solo Leisure,Economy Class,November 2023,yes
,Family Leisure,Economy Class,November 2023,yes
,Couple Leisure,Economy Class,October 2023,no
A320,Couple Leisure,Business Class,November 2023,yes
,Couple Leisure,Economy Class,October 2023,no
A320,Solo Leisure,Economy Class,October 2023,no
,Couple Leisure,Economy Class,October 2023,yes
A321 neo,,Economy Class,October 2023,yes
,Couple Leisure,Economy Class,October 2023,no
A320,Couple Leisure,Economy Class,October 2023,yes
,Solo Leisure,Economy Class,October 2023,no
A380-800,Solo Leisure,Economy Class,October 2023,no
,Solo Leisure,Business Class,October 2023,no
,Couple Leisure,Economy Class,October 2023,no
A320,Solo Leisure,Economy Class,October 2023,no
,Couple Leisure,Economy Class,October 2023,no
A320,Couple Leisure,Business Class,September 2023,no
A320-232,Solo Leisure,Economy Class,October 2023,no
A320,,Business Class,October 2023,no
,Couple Leisure,Economy Class,October 2023,no
,Solo Leisure,Business Class,July 2023,no
A320,Couple Leisure,Economy Class,October 2023,no
,Couple Leisure,Economy Class,September 2023,no
A321,Solo Leisure,Economy Class,October 2023,no
,Couple Leisure,Economy Class,September 2023,no
,Couple Leisure,Economy Class,October 2023,no
,Solo Leisure,First Class,October 2023,yes
,Couple Leisure,Business Class,August 2023,no
A380,Couple Leisure,Economy Class,October 2023,no
A320,,Business Class,September 2023,no
A320,Couple Leisure,Business Class,September 2023,no
A320,,Economy Class,October 2023,no
,Couple Leisure,Business Class,September 2023,no
,,Economy Class,September 2023,no
,Couple Leisure,First Class,September 2023,no
A321,,Business Class,September 2023,no
,Couple Leisure,Economy Class,September 2023,no
,Solo Leisure,Business Class,August 2023,no
,,Business Class,September 2023,no
,,Economy Class,September 2023,no
,Family Leisure,Economy Class,August 2023,no
A350,,,August 2023,no
,Family Leisure,Economy Class,July 2023,no
A320,Couple Leisure,Business Class,September 2023,yes
,Couple Leisure,Economy Class,September 2023,no
,Solo Leisure,Economy Class,September 2023,no
,,Business Class,April 2023,no
,Couple Leisure,Business Class,September 2023,yes
A320,Couple Leisure,Business Class,September 2023,no
,Solo Leisure,Economy Class,September 2023,no
A320,Couple Leisure,Economy Class,September 2023,no
,Solo Leisure,Economy Class,September 2023,no
A321,Couple Leisure,Business Class,August 2023,yes
,Couple Leisure,Business Class,August 2023,yes
,,,September 2023,no
A380,Solo Leisure,Business Class,September 2023,no
,,Economy Class,August 2023,no
,Couple Leisure,Economy Class,June 2023,no
,Couple Leisure,,July 2023,no
A320,Solo Leisure,Business Class,August 2023,no
,Solo Leisure,Economy Class,August 2023,no
A320,Couple Leisure,Business Class,August 2023,no
A320,,Business Class,August 2023,no
,Couple Leisure,Economy Class,June 2023,no
,,Business Class,August 2023,no
,Couple Leisure,Business Class,August 2023,yes
,Family Leisure,Economy Class,December 2022,no
,Solo Leisure,Economy Class,June 2023,no
A320neo,Solo Leisure,Business Class,July 2023,yes
A380,Family Leisure,Economy Class,August 2023,yes
A380,Family Leisure,Business Class,August 2023,yes
,Family Leisure,Economy Class,August 2023,no
,Family Leisure,Economy Class,August 2023,no
,Couple Leisure,Economy Class,July 2023,yes
,Solo Leisure,Economy Class,August 2023,no
A380 / A320,,Economy Class,July 2023,no
,,Economy Class,August 2023,no
,Solo Leisure,Economy Class,August 2023,no
